Date,Value
2021-01-07 10:00:00,100
2021-01-07 10:15:00,87
2021-01-07 10:30:00,110
2021-01-07 10:45:00,21
2021-01-07 11:00:00,38
2021-01-07 11:15:00,131
2021-01-07 11:30:00,65
2021-01-07 11:45:00,76
2021-01-07 12:00:00,115
2021-01-07 12:15:00,94
2021-01-07 12:30:00,99
2021-01-07 12:45:00,69
2021-01-07 13:00:00,89
2021-01-07 13:15:00,83
2021-01-07 13:30:00,63
2021-01-07 13:45:00,77
2021-01-07 14:00:00,94
2021-01-07 14:15:00,99
2021-01-07 14:30:00,91
2021-01-07 14:45:00,75
2021-01-07 15:00:00,74
2021-01-07 15:15:00,89
2021-01-07 15:30:00,102
2021-01-07 15:45:00,115
2021-01-07 16:00:00,102
2021-01-07 16:15:00,126
2021-01-07 16:30:00,131
2021-01-07 16:45:00,140
2021-01-07 17:00:00,79
2021-01-07 17:15:00,121
2021-01-07 17:30:00,141
2021-01-07 17:45:00,110
2021-01-07 18:00:00,186
2021-01-07 18:15:00,138
2021-01-07 18:30:00,105
2021-01-07 18:45:00,101
2021-01-07 19:00:00,65
2021-01-07 19:15:00,133
2021-01-07 19:30:00,27
2021-01-07 19:45:00,27
2021-01-08 10:00:00,16
2021-01-08 10:15:00,77
2021-01-08 10:30:00,91
2021-01-08 10:45:00,113
2021-01-08 11:00:00,175
2021-01-08 11:15:00,136
2021-01-08 11:30:00,80
2021-01-08 11:45:00,123
2021-01-08 12:00:00,123
2021-01-08 12:15:00,95
2021-01-08 12:30:00,133
2021-01-08 12:45:00,76
2021-01-08 13:00:00,161
2021-01-08 13:15:00,55
2021-01-08 13:30:00,143
2021-01-08 13:45:00,117
2021-01-08 14:00:00,96
2021-01-08 14:15:00,87
2021-01-08 14:30:00,96
2021-01-08 14:45:00,111
2021-01-08 15:00:00,93
2021-01-08 15:15:00,145
2021-01-08 15:30:00,100
2021-01-08 15:45:00,134
2021-01-08 16:00:00,117
2021-01-08 16:15:00,133
2021-01-08 16:30:00,184
2021-01-08 16:45:00,112
2021-01-08 17:00:00,122
2021-01-08 17:15:00,177
2021-01-08 17:30:00,159
2021-01-08 17:45:00,181
2021-01-08 18:00:00,142
2021-01-08 18:15:00,72
2021-01-08 18:30:00,114
2021-01-08 18:45:00,196
2021-01-08 19:00:00,73
2021-01-08 19:15:00,137
2021-01-08 19:30:00,41
2021-01-08 19:45:00,16
2021-01-09 09:45:00,40
2021-01-09 10:00:00,113
2021-01-09 10:15:00,23
2021-01-09 10:30:00,81
2021-01-09 10:45:00,56
2021-01-09 11:00:00,38
2021-01-09 11:15:00,111
2021-01-09 11:30:00,137
2021-01-09 11:45:00,139
2021-01-09 12:00:00,74
2021-01-09 12:15:00,125
2021-01-09 12:30:00,78
2021-01-09 12:45:00,110
2021-01-09 13:00:00,134
2021-01-09 13:15:00,65
2021-01-09 13:30:00,53
2021-01-09 13:45:00,62
2021-01-09 14:00:00,84
2021-01-09 14:15:00,109
2021-01-09 14:30:00,135
2021-01-09 14:45:00,114
2021-01-09 15:00:00,79
2021-01-09 15:15:00,56
2021-01-09 15:30:00,78
2021-01-09 15:45:00,109
2021-01-09 16:00:00,87
2021-01-09 16:15:00,59
2021-01-09 16:30:00,87
2021-01-09 16:45:00,113
2021-01-09 17:00:00,124
2021-01-09 17:15:00,166
2021-01-09 17:30:00,178
2021-01-09 17:45:00,104
2021-01-09 18:00:00,110
2021-01-09 18:15:00,161
2021-01-09 18:30:00,126
2021-01-09 18:45:00,92
2021-01-09 19:00:00,132
2021-01-09 19:15:00,149
2021-01-09 19:30:00,42
2021-01-10 10:00:00,108
2021-01-10 10:15:00,116
2021-01-10 10:30:00,93
2021-01-10 10:45:00,84
2021-01-10 11:00:00,154
2021-01-10 11:15:00,102
2021-01-10 11:30:00,121
2021-01-10 11:45:00,169
2021-01-10 12:00:00,141
2021-01-10 12:15:00,189
2021-01-10 12:30:00,50
2021-01-10 12:45:00,69
2021-01-10 13:00:00,109
2021-01-10 13:15:00,113
2021-01-10 13:30:00,83
2021-01-10 13:45:00,93
2021-01-10 14:00:00,87
2021-01-10 14:15:00,56
2021-01-10 14:30:00,79
2021-01-10 14:45:00,140
2021-01-10 15:00:00,106
2021-01-10 15:15:00,129
2021-01-10 15:30:00,159
2021-01-10 15:45:00,145
2021-01-10 16:00:00,136
2021-01-10 16:15:00,90
2021-01-10 16:30:00,185
2021-01-10 16:45:00,201
2021-01-10 17:00:00,134
2021-01-10 17:15:00,147
2021-01-10 17:30:00,142
2021-01-10 17:45:00,159
2021-01-10 18:00:00,169
2021-01-10 18:15:00,165
2021-01-10 18:30:00,175
2021-01-10 18:45:00,153
2021-01-10 19:00:00,117
2021-01-10 19:15:00,112
2021-01-10 19:30:00,68
2021-01-10 19:45:00,125
2021-01-10 20:00:00,14
2021-01-11 09:45:00,17
2021-01-11 10:00:00,118
2021-01-11 10:15:00,85
2021-01-11 10:30:00,132
2021-01-11 10:45:00,134
2021-01-11 11:00:00,119
2021-01-11 11:15:00,108
2021-01-11 11:30:00,146
2021-01-11 11:45:00,136
2021-01-11 12:00:00,123
2021-01-11 12:15:00,125
2021-01-11 12:30:00,131
2021-01-11 12:45:00,114
2021-01-11 13:00:00,120
2021-01-11 13:15:00,158
2021-01-11 13:30:00,88
2021-01-11 13:45:00,149
2021-01-11 14:00:00,126
2021-01-11 14:15:00,91
2021-01-11 14:30:00,110
2021-01-11 14:45:00,138
2021-01-11 15:00:00,156
2021-01-11 15:15:00,103
2021-01-11 15:30:00,96
2021-01-11 15:45:00,199
2021-01-11 16:00:00,126
2021-01-11 16:15:00,180
2021-01-11 16:30:00,88
2021-01-11 16:45:00,180
2021-01-11 17:00:00,119
2021-01-11 17:15:00,118
2021-01-11 17:30:00,177
2021-01-11 17:45:00,117
2021-01-11 18:00:00,160
2021-01-11 18:15:00,191
2021-01-11 18:30:00,137
2021-01-11 18:45:00,172
2021-01-11 19:00:00,131
2021-01-11 19:15:00,105
2021-01-11 19:30:00,136
2021-01-11 19:45:00,39
2021-01-13 09:30:00,3
2021-01-13 09:45:00,67
2021-01-13 10:00:00,35
2021-01-13 10:15:00,87
2021-01-13 10:30:00,90
2021-01-13 10:45:00,87
2021-01-13 11:00:00,86
2021-01-13 11:15:00,109
2021-01-13 11:30:00,118
2021-01-13 11:45:00,84
2021-01-13 12:00:00,146
2021-01-13 12:15:00,81
2021-01-13 12:30:00,87
2021-01-13 12:45:00,115
2021-01-13 13:00:00,123
2021-01-13 13:15:00,138
2021-01-13 13:30:00,111
2021-01-13 13:45:00,88
2021-01-13 14:00:00,55
2021-01-13 14:15:00,80
2021-01-13 14:30:00,93
2021-01-13 14:45:00,74
2021-01-13 15:00:00,63
